분류,세분류,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,
분류,세분류,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,
국가,싱가포르,,22.7,47.7,22.7,25.3,6.3,16.9,,,0.8,,25.9,36.2,23.6,23.7,5.3,18.6,,,1,,,,,,7.8,,74.6,17.7,0.5,,,,,,5.4,,63.6,33.8,0.7,179,,,,,7,,64.6,33.5,0,131,,,,,9.5,,25.7,67.4,0.2,113,,,,,9.4,,57,36.3,0,134,,,,,10.2,,66.1,28,0,
국가,대만,,40.2,31.7,18.2,22.7,16.9,14.9,,,0.1,,40.6,28.9,19.6,19,13.7,13.5,,,1.3,,,,,,11.9,,59.3,31.1,0.2,,,,,,10.1,,56.2,37.4,0.6,886,,,,,11.9,,54.7,35.6,0.4,583,,,,,10,,37.4,55.1,0,484,,,,,12.6,,50,40.7,0.2,553,,,,,14.3,,46.4,46.6,0.3,
국가,태국,,53.7,19.7,12,9.8,15.9,4,,,0.2,,41.7,22.3,10.6,18.2,17.1,7.4,,,0.6,,,,,,16,,48.7,36.9,0.2,,,,,,12.1,,49.5,38.9,0.8,410,,,,,11,,42.4,49.6,0.5,293,,,,,16.4,,43.6,43.4,0,290,,,,,16.4,,47.4,39.5,0,351,,,,,12.8,,52,41.1,0.1,
국가,말레이시아,,30.5,30.1,13.3,27.6,14.8,16.9,,,1.4,,21.6,29.6,16.1,26,17,15.9,,,3.4,,,,,,8.7,,62.8,30.2,0.7,,,,,,7.5,,62.7,31.7,0.4,278,,,,,6.2,,61.5,38.5,0,206,,,,,4.3,,42.6,58.7,0,202,,,,,7.3,,61.2,36.3,0,186,,,,,10.9,,64.7,33.4,0,
국가,호주,,25.6,49.7,12.1,13.9,8.7,7.4,,,0,,34.3,44.8,11.2,14.3,7.2,8.2,,,0.5,,,,,,12,,56.2,33.3,0,,,,,,10,,54.9,36,0.9,92,,,,,12.4,,41.9,48.5,0,61,,,,,17.7,,30.9,53.6,0,66,,,,,17.2,,57.9,26.7,0,59,,,,,19.9,,52.7,28.2,0.5,
국가,미국,,24.8,42.1,12.2,15.4,13.3,7.2,,,1.1,,27.7,36.7,15.1,17.1,16.3,8.8,,,1.1,,,,,,20.2,,56.1,24.7,0.3,,,,,,21,,51.2,28.6,0.6,427,,,,,21.2,,49.9,30.7,0.5,299,,,,,20.8,,27.1,53.3,0.2,328,,,,,18.8,,56.1,26.5,0.3,254,,,,,33.7,,48.7,19.1,0,
국가,캐나다,,25.5,42.2,13.8,19,7.8,8.2,,,0.9,,21,47.8,15.4,14.7,8.6,6.2,,,1,,,,,,9.7,,60.3,31.1,0.7,,,,,,9.1,,61.2,32.3,0,99,,,,,13.4,,55.5,33.2,0.7,72,,,,,16.5,,24.5,60.2,0,76,,,,,13.6,,62.5,25.7,0,55,,,,,24,,46.9,31.7,0,
국가,영국,,25.1,40.9,10.2,9.5,19.1,8.4,,,0.4,,31.5,36.1,8,13.1,20,6.9,,,2.1,,,,,,28.6,,40.7,32.3,0,,,,,,23.2,,46,30.8,0,57,,,,,33.6,,40.5,29.7,0,39,,,,,36,,29.5,36.5,0,51,,,,,39.6,,32.1,29.6,0,37,,,,,49,,28,23.7,0,
국가,독일,,33.1,31.8,7.3,13.8,19.4,3.3,,,1,,28.1,26.7,9.9,9,30.2,5.8,,,1.6,,,,,,32.5,,32.8,34.2,1.3,,,,,,39,,32.4,28.8,0.8,44,,,,,50.1,,30.4,21.3,1.9,33,,,,,42.3,,25.2,34,0,38,,,,,50.5,,33.4,16.8,0,30,,,,,45.1,,36.9,19.8,0,
국가,프랑스,,42.2,33.9,14,12.4,8.6,8.6,,,0.7,,36.6,33.4,11.3,9.7,15.1,11,,,0.5,,,,,,16.1,,52.1,33.8,0,,,,,,19.4,,39.1,40.5,1,48,,,,,28.9,,39.8,32.4,0,29,,,,,36.5,,33.6,31.4,0,36,,,,,25.6,,37.5,37.8,0,28,,,,,41.2,,28.6,30.1,0,
