provinceName,districtName,country,percentage
서울특별시,노원구,오스트레일리아,2.0
서울특별시,노원구,인도네시아,1.9
서울특별시,노원구,말레이시아,1.7
서울특별시,노원구,영국,1.6
서울특별시,노원구,프랑스,1.6
서울특별시,노원구,태국,1.5
서울특별시,노원구,러시아,1.3
서울특별시,노원구,싱가포르,1.2
서울특별시,노원구,인도,1.1
서울특별시,노원구,카자흐스탄,0.7
서울특별시,노원구,멕시코,0.4
서울특별시,노원구,튀르키예,0.4
서울특별시,노원구,사우디아라비아,0.3
서울특별시,노원구,아랍에미리트,0.1
서울특별시,도봉구,중국,18.4
서울특별시,도봉구,기타,15.6
서울특별시,도봉구,일본,12.7
서울특별시,도봉구,미국,11.3
서울특별시,도봉구,몽골,4.7
서울특별시,도봉구,캐나다,4.6
서울특별시,도봉구,베트남,4.1
서울특별시,도봉구,대만,3.6
서울특별시,도봉구,홍콩,3.2
서울특별시,도봉구,필리핀,3.0
서울특별시,도봉구,독일,3.0
서울특별시,도봉구,인도네시아,2.6
서울특별시,도봉구,오스트레일리아,2.4
서울특별시,도봉구,말레이시아,1.7
서울특별시,도봉구,프랑스,1.6
서울특별시,도봉구,태국,1.5
서울특별시,도봉구,싱가포르,1.3
서울특별시,도봉구,영국,1.3
서울특별시,도봉구,러시아,1.1
서울특별시,도봉구,인도,0.6
서울특별시,도봉구,튀르키예,0.6
서울특별시,도봉구,멕시코,0.5
서울특별시,도봉구,카자흐스탄,0.4
서울특별시,도봉구,사우디아라비아,0.1
서울특별시,도봉구,아랍에미리트,0.1
서울특별시,동대문구,중국,30.7
서울특별시,동대문구,일본,12.9
서울특별시,동대문구,기타,9.9
서울특별시,동대문구,대만,7.9
서울특별시,동대문구,홍콩,4.6
서울특별시,동대문구,미국,4.5
서울특별시,동대문구,베트남,3.9
서울특별시,동대문구,인도네시아,3.5
서울특별시,동대문구,말레이시아,3.3
서울특별시,동대문구,몽골,2.8
서울특별시,동대문구,필리핀,2.8
서울특별시,동대문구,싱가포르,1.9
서울특별시,동대문구,독일,1.9
서울특별시,동대문구,캐나다,1.5
서울특별시,동대문구,태국,1.3
서울특별시,동대문구,프랑스,1.3
서울특별시,동대문구,러시아,1.2
서울특별시,동대문구,영국,0.9
서울특별시,동대문구,오스트레일리아,0.8
서울특별시,동대문구,인도,0.8
서울특별시,동대문구,카자흐스탄,0.5
서울특별시,동대문구,사우디아라비아,0.3
서울특별시,동대문구,튀르키예,0.3
서울특별시,동대문구,멕시코,0.3
서울특별시,동대문구,아랍에미리트,0.0
서울특별시,동작구,중국,27.7
서울특별시,동작구,기타,11.2
서울특별시,동작구,일본,10.4
서울특별시,동작구,미국,7.3
서울특별시,동작구,대만,5.8
서울특별시,동작구,베트남,4.0
서울특별시,동작구,홍콩,3.8
서울특별시,동작구,필리핀,3.1
서울특별시,동작구,싱가포르,3.1
서울특별시,동작구,인도네시아,3.0
서울특별시,동작구,독일,2.8
서울특별시,동작구,캐나다,2.8
서울특별시,동작구,말레이시아,2.3
서울특별시,동작구,몽골,1.8
서울특별시,동작구,러시아,1.8
서울특별시,동작구,태국,1.6
서울특별시,동작구,프랑스,1.6
서울특별시,동작구,오스트레일리아,1.4
서울특별시,동작구,영국,1.3
서울특별시,동작구,인도,1.0
서울특별시,동작구,카자흐스탄,1.0
서울특별시,동작구,튀르키예,0.6
서울특별시,동작구,멕시코,0.4
서울특별시,동작구,사우디아라비아,0.2
서울특별시,동작구,아랍에미리트,0.1
서울특별시,마포구,대만,19.9
서울특별시,마포구,중국,19.6
서울특별시,마포구,일본,11.0
서울특별시,마포구,홍콩,8.1
서울특별시,마포구,기타,6.4
서울특별시,마포구,싱가포르,4.9
서울특별시,마포구,미국,4.7
서울특별시,마포구,인도네시아,3.9
서울특별시,마포구,말레이시아,3.8
서울특별시,마포구,필리핀,3.3
서울특별시,마포구,태국,3.0
서울특별시,마포구,독일,2.0
서울특별시,마포구,베트남,1.5
서울특별시,마포구,프랑스,1.5
서울특별시,마포구,캐나다,1.4
서울특별시,마포구,오스트레일리아,1.2
서울특별시,마포구,영국,1.0
서울특별시,마포구,러시아,0.7
서울특별시,마포구,인도,0.5
서울특별시,마포구,카자흐스탄,0.3
서울특별시,마포구,튀르키예,0.3
서울특별시,마포구,사우디아라비아,0.3
서울특별시,마포구,몽골,0.3
